Formula,Complexified_formula,Latex_formula,Latex_complexified_formula
"/,*,*,x_0,x_1,x_2,x_3","[/, /, +, /, **3, x_3, /, x_0, x_4, -0.06, **3, x_3, x_3]",\frac{x_{0} x_{1} x_{2}}{x_{3}},\frac{\frac{x_{3}^{3}}{x_{0} \cdot \frac{1}{x_{4}}} - 0.06}{x_{3} x_{3}^{3}}
"*,*,x_0,x_2,x_1","[**3, -, -, x_2, log, +, x_3, -1.24, max, max, x_1, x_3, max, log, x_3, log, x_1]",x_{0} x_{1} x_{2},"\left(x_{2} - \log{\left(\left|{x_{3} - 1.24}\right| \right)} - \max\left(x_{1}, x_{3}, \log{\left(\left|{x_{1}}\right| \right)}, \log{\left(\left|{x_{3}}\right| \right)}\right)\right)^{3}"
"/,*,*,/,1,-,x_0,1,x_1,x_3,x_2","[/, max, *, x_3, x_5, -, -, x_4, log, x_0, /, x_2, **3, x_1, x_2]",\frac{1.0 x_{1} x_{3}}{x_{2} \left(x_{0} - 1.0\right)},"\frac{\max\left(x_{3} x_{5}, x_{4} - \log{\left(\left|{x_{0}}\right| \right)} - \frac{x_{2}}{x_{1}^{3}}\right)}{x_{2}}"
"*,*,*,x_0,x_1,x_2,log,/,x_4,x_3","[*, *, *, x_0, x_1, x_2, **3, +, *, x_5, +, x_2, x_4, +, *, x_4, x_1, x_5]",x_{0} x_{1} x_{2} \log{\left(\left|{\frac{x_{4}}{x_{3}}}\right| \right)},x_{0} x_{1} x_{2} \left(x_{1} x_{4} + x_{5} \left(x_{2} + x_{4}\right) + x_{5}\right)^{3}
"/,*,*,x_0,-,x_2,x_1,x_3,x_4","[**3, -, -, *, log, x_5, 3.77, **3, max, x_3, x_1, *, +, /, x_1, x_4, x_0, **3, x_4]",\frac{x_{0} x_{3} \left(- x_{1} + x_{2}\right)}{x_{4}},"\left(- x_{4}^{3} \left(x_{0} + \frac{x_{1}}{x_{4}}\right) + \log{\left(\left|{x_{5}}\right| \right)} 3.77 - \max\left(x_{1}, x_{3}\right)^{3}\right)^{3}"
"/,x_0,*,*,*,4,3.14,x_1,x_2","[/, x_0, *, +, *, /, x_2, x_2, x_1, -, x_4, /, x_1, x_1, x_2]",\frac{x_{0}}{3.14 \cdot 4.0 x_{1} x_{2}},\frac{x_{0}}{x_{2} \left(\frac{x_{1} x_{2}}{x_{2}} + x_{4} - \frac{x_{1}}{x_{1}}\right)}
"/,*,/,x_0,x_1,1,+,1,x_2","[max, log, +, +, max, x_5, x_3, x_4, x_2, log, x_1]",x_{0} \cdot \frac{1}{x_{1}} \cdot 1.0 \cdot \frac{1}{x_{2} + 1.0},"\max\left(\log{\left(\left|{x_{1}}\right| \right)}, \log{\left(\left|{x_{2} + x_{4} + \max\left(x_{3}, x_{5}\right)}\right| \right)}\right)"
"+,1,/,*,x_0,x_1,-,1,/,*,x_0,x_1,3","[+, 1.0, +, max, -, x_4, *, x_1, -4.13, +, x_4, -, x_2, x_4, x_4]",\frac{x_{0} x_{1}}{1.0 - \frac{x_{0} x_{1}}{3.0}} + 1.0,"x_{4} + \max\left(- \left(-4.13\right) x_{1} + x_{4}, x_{2} - x_{4} + x_{4}\right) + 1.0"
"/,x_0,*,*,*,*,4,3.14,x_1,x_2,-,1,/,x_3,x_4","[/, x_0, *, *, *, *, 4.0, x_3, x_1, x_2, -, 1.0, /, x_3, x_4]",\frac{x_{0}}{3.14 \cdot 4.0 x_{1} x_{2} \cdot \left(1.0 - \frac{x_{3}}{x_{4}}\right)},\frac{x_{0}}{4.0 x_{1} x_{2} x_{3} \cdot \left(1.0 - \frac{x_{3}}{x_{4}}\right)}
"/,*,x_0,x_1,*,*,2,3.14,x_2","[/, max, max, max, *, x_5, x_5, +, x_2, x_2, -, x_0, +, x_5, x_2, *, -, -, x_1, -4.12, *, x_5, x_5, /, x_2, x_2, *, *, 2.0, 3.14, x_2]",\frac{x_{0} x_{1}}{2.0 \cdot 3.14 x_{2}},"\frac{\max\left(x_{5} x_{5}, \frac{x_{2} \left(x_{1} - x_{5} x_{5} - -4.12\right)}{x_{2}}, x_{0} - \left(x_{2} + x_{5}\right), x_{2} + x_{2}\right)}{2.0 \cdot 3.14 x_{2}}"
"/,*,*,x_0,x_1,x_2,2","[**3, log, **3, -, x_1, max, x_2, x_0]",\frac{x_{0} x_{1} x_{2}}{2.0},"\log{\left(\left|{\left(x_{1} - \max\left(x_{0}, x_{2}\right)\right)^{3}}\right| \right)}^{3}"
"/,*,*,x_0,x_1,x_2,*,2,x_3","[/, *, *, x_0, x_1, x_2, *, +, **3, *, x_2, x_1, **3, *, x_5, x_4, x_3]",\frac{x_{0} x_{1} x_{2}}{2.0 x_{3}},\frac{x_{0} x_{1} x_{2}}{x_{3} \left(\left(x_{1} x_{2}\right)^{3} + \left(x_{4} x_{5}\right)^{3}\right)}
"/,*,x_0,x_1,*,*,4,3.14,x_2","[/, *, **3, /, **3, x_3, max, x_3, x_2, log, max, /, x_5, x_0, /, x_3, x_4, /, x_2, log, x_4]",\frac{x_{0} x_{1}}{3.14 \cdot 4.0 x_{2}},"\frac{\left(\frac{x_{3}^{3}}{\max\left(x_{2}, x_{3}\right)}\right)^{3} \log{\left(\left|{\max\left(\frac{x_{5}}{x_{0}}, \frac{x_{3}}{x_{4}}\right)}\right| \right)}}{x_{2} \cdot \frac{1}{\log{\left(\left|{x_{4}}\right| \right)}}}"
"/,*,*,*,x_0,x_3,x_4,x_2,/,x_1,*,2,3.14","[/, *, *, *, x_0, +, x_5, 0.19, x_4, x_2, /, x_1, *, 2.0, 3.14]",\frac{x_{0} x_{2} x_{3} x_{4}}{x_{1} \cdot \frac{1}{2.0 \cdot 3.14}},\frac{x_{0} x_{2} x_{4} \left(x_{5} + 0.19\right)}{x_{1} \cdot \frac{1}{2.0 \cdot 3.14}}
"*,*,x_0,+,1,x_2,x_1","[-, x_0, -, -, *, log, -3.24, x_0, log, x_0, +, max, x_0, x_2, log, x_5]",x_{0} x_{1} \left(x_{2} + 1.0\right),"x_{0} - \left(x_{0} \log{\left(3.24 \right)} - \left(\log{\left(\left|{x_{5}}\right| \right)} + \max\left(x_{0}, x_{2}\right)\right) - \log{\left(\left|{x_{0}}\right| \right)}\right)"
"/,x_0,*,2,+,1,x_1","[/, x_0, *, 2.0, +, 1.0, *, /, x_5, 0.6, max, x_1, x_5]",\frac{x_{0}}{2.0 \left(x_{1} + 1.0\right)},"\frac{x_{0}}{2.0 \left(\frac{x_{5} \max\left(x_{1}, x_{5}\right)}{0.6} + 1.0\right)}"
"/,*,*,2,x_0,x_1,/,x_2,*,2,3.14","[/, *, *, 2.0, x_0, x_1, -, +, *, +, x_2, x_3, x_5, /, x_5, max, x_0, x_2, **3, max, 1.25, /, x_4, x_5]",\frac{2.0 x_{0} x_{1}}{x_{2} \cdot \frac{1}{2.0 \cdot 3.14}},"\frac{2.0 x_{0} x_{1}}{x_{5} \left(x_{2} + x_{3}\right) + \frac{x_{5}}{\max\left(x_{0}, x_{2}\right)} - \max\left(1.25, \frac{x_{4}}{x_{5}}\right)^{3}}"
"*,x_0,/,x_1,*,2,3.14","[/, +, log, x_1, -, log, x_1, 0.26, **3, -, -, x_5, log, x_1, max, **3, x_1, x_5]",\frac{x_{0} x_{1}}{2.0 \cdot 3.14},"\frac{\log{\left(\left|{x_{1}}\right| \right)} + \log{\left(\left|{x_{1}}\right| \right)} - 0.26}{\left(x_{5} - \log{\left(\left|{x_{1}}\right| \right)} - \max\left(x_{1}^{3}, x_{5}\right)\right)^{3}}"
"/,*,*,2,3.14,x_0,*,x_1,x_2","[/, *, -, *, max, x_5, -0.24, x_0, *, x_5, x_0, x_0, *, x_1, x_2]",2.0 \cdot 3.14 x_{0} \cdot \frac{1}{x_{1} x_{2}},"\frac{x_{0} \left(- x_{0} x_{5} + x_{0} \max\left(-0.24, x_{5}\right)\right)}{x_{1} x_{2}}"
