,Filename,Number,Output,Formula,# variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high,Standardized_formula,AST_formula
10,I.12.5,12.0,F,q2*Ef,2.0,q2,1.0,5.0,Ef,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1,"*,x_0,x_1"
11,I.12.11,13.0,F,q*(Ef+B*v*sin(theta)),5.0,q,1.0,5.0,Ef,1.0,5.0,B,1.0,5.0,v,1.0,5.0,theta,1.0,5.0,nan,,,nan,,,nan,,,nan,,,,,,x_0*(x_1+x_2*x_3*sin(x_4)),"*,x_0,+,x_1,*,*,x_2,x_3,sin,x_4"
12,I.13.4,9.0,K,1/2*m*(v**2+u**2+w**2),4.0,m,1.0,5.0,v,1.0,5.0,u,1.0,5.0,w,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,1/2*x_0*(x_1**2+x_2**2+x_3**2),"*,*,/,1,2,x_0,+,+,**,x_1,2,**,x_2,2,**,x_3,2"
13,I.13.12,14.0,U,G*m1*m2*(1/r2-1/r1),5.0,m1,1.0,5.0,m2,1.0,5.0,r1,1.0,5.0,r2,1.0,5.0,G,1.0,5.0,nan,,,nan,,,nan,,,nan,,,,,,x_4*x_0*x_1*(1/x_3-1/x_2),"*,*,*,x_4,x_0,x_1,-,/,1,x_3,/,1,x_2"
14,I.14.3,15.0,U,m*g*z,3.0,m,1.0,5.0,g,1.0,5.0,z,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1*x_2,"*,*,x_0,x_1,x_2"
15,I.14.4,16.0,U,1/2*k_spring*x**2,2.0,k_spring,1.0,5.0,x,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,1/2*x_1_0*x_1**2,"*,*,/,1,2,x_1_0,**,x_1,2"
16,I.15.3x,17.0,x1,(x-u*t)/sqrt(1-u**2/c**2),4.0,x,5.0,10.0,u,1.0,2.0,c,3.0,20.0,t,1.0,2.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,(x_0-x_1*x_3)/sqrt(1-x_1**2/x_2**2),"/,-,x_0,*,x_1,x_3,sqrt,-,1,/,**,x_1,2,**,x_2,2"
17,I.15.3t,18.0,t1,(t-u*x/c**2)/sqrt(1-u**2/c**2),4.0,x,1.0,5.0,c,3.0,10.0,u,1.0,2.0,t,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,(x_3-x_2*x_0/x_1**2)/sqrt(1-x_2**2/x_1**2),"/,-,x_3,/,*,x_2,x_0,**,x_1,2,sqrt,-,1,/,**,x_2,2,**,x_1,2"
18,I.15.1,19.0,p,m_0*v/sqrt(1-v**2/c**2),3.0,m_0,1.0,5.0,v,1.0,2.0,c,3.0,10.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1/sqrt(1-x_1**2/x_2**2),"/,*,x_0,x_1,sqrt,-,1,/,**,x_1,2,**,x_2,2"
19,I.16.6,20.0,v1,(u+v)/(1+u*v/c**2),3.0,c,1.0,5.0,v,1.0,5.0,u,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,(x_2+x_1)/(1+x_2*x_1/x_0**2),"/,+,x_2,x_1,+,1,/,*,x_2,x_1,**,x_0,2"
20,I.18.4,21.0,r,(m1*r1+m2*r2)/(m1+m2),4.0,m1,1.0,5.0,m2,1.0,5.0,r1,1.0,5.0,r2,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,(x_0*x_2+x_1*x_3)/(x_0+x_1),"/,+,*,x_0,x_2,*,x_1,x_3,+,x_0,x_1"
21,I.18.12,22.0,tau,r*F*sin(theta),2.0,r,1.0,5.0,F,1.0,5.0,theta,0.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1*sin(x_2),"*,*,x_0,x_1,sin,x_2"
22,I.18.14,23.0,L,m*r*v*sin(theta),3.0,m,1.0,5.0,r,1.0,5.0,v,1.0,5.0,theta,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1*x_2*sin(x_3),"*,*,*,x_0,x_1,x_2,sin,x_3"
23,I.24.6,24.0,E_n,1/2*m*(omega**2+omega_0**2)*1/2*x**2,4.0,m,1.0,3.0,omega,1.0,3.0,omega_0,1.0,3.0,x,1.0,3.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,1/2*x_3_0*(x_3_1**2+x_3_2**2)*1/2*x_3**2,"*,/,*,*,*,/,1,2,x_3_0,+,**,x_3_1,2,**,x_3_2,2,1,2,**,x_3,2"
24,I.25.13,25.0,Volt,q/C,2.0,q,1.0,5.0,C,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0/x_1,"/,x_0,x_1"
25,I.26.2,26.0,theta1,arcsin(n*sin(theta2)),2.0,n,0.0,1.0,theta2,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,arcsin(x_0*sin(x_1)),"arcsin,*,x_0,sin,x_1"
26,I.27.6,27.0,foc,1/(1/d1+n/d2),3.0,d1,1.0,5.0,d2,1.0,5.0,n,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,1/(1/x_0+x_2/x_1),"/,1,+,/,1,x_0,/,x_2,x_1"
27,I.29.4,28.0,k,omega/c,2.0,omega,1.0,10.0,c,1.0,10.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0/x_1,"/,x_0,x_1"
28,I.29.16,29.0,x,sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),4.0,x1,1.0,5.0,x2,1.0,5.0,theta1,1.0,5.0,theta2,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,sqrt(x_0**2+x_1**2-2*x_0*x_1*cos(x_2-x_3)),"sqrt,-,+,**,x_0,2,**,x_1,2,*,*,*,2,x_0,x_1,cos,-,x_2,x_3"
29,I.30.3,30.0,Int,Int_0*sin(n*theta/2)**2/sin(theta/2)**2,3.0,Int_0,1.0,5.0,theta,1.0,5.0,n,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*sin(x_2*x_1/2)**2/sin(x_1/2)**2,"/,*,x_0,**,sin,/,*,x_2,x_1,2,2,**,sin,/,x_1,2,2"
30,I.30.5,31.0,theta,arcsin(lambd/(n*d)),3.0,lambd,1.0,2.0,d,2.0,5.0,n,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,arcsin(x_0/(x_2*x_1)),"arcsin,/,x_0,*,x_2,x_1"
31,I.32.5,32.0,Pwr,q**2*a**2/(6*pi*epsilon*c**3),4.0,q,1.0,5.0,a,1.0,5.0,epsilon,1.0,5.0,c,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0**2*x_1**2/(6*pi*x_2*x_3**3),"/,*,**,x_0,2,**,x_1,2,*,*,*,6,pi,x_2,**,x_3,3"
32,I.32.17,33.0,Pwr,(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),6.0,epsilon,1.0,2.0,c,1.0,2.0,Ef,1.0,2.0,r,1.0,2.0,omega,1.0,2.0,omega_0,3.0,5.0,nan,,,nan,,,nan,,,,,,(1/2*x_0*x_1*x_2**2)*(8*pi*x_3**2/3)*(x_4**4/(x_4**2-x_5**2)**2),"*,*,*,*,*,/,1,2,x_0,x_1,**,x_2,2,/,*,*,8,pi,**,x_3,2,3,/,**,x_4,4,**,-,**,x_4,2,**,x_5,2,2"
33,I.34.8,34.0,omega,q*v*B/p,4.0,q,1.0,5.0,v,1.0,5.0,B,1.0,5.0,p,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1*x_2/x_3,"/,*,*,x_0,x_1,x_2,x_3"
34,I.34.1,35.0,omega,omega_0/(1-v/c),3.0,c,3.0,10.0,v,1.0,2.0,omega_0,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_2/(1-x_1/x_0),"/,x_2,-,1,/,x_1,x_0"
35,I.34.14,36.0,omega,(1+v/c)/sqrt(1-v**2/c**2)*omega_0,3.0,c,3.0,10.0,v,1.0,2.0,omega_0,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,(1+x_1/x_0)/sqrt(1-x_1**2/x_0**2)*x_2,"*,/,+,1,/,x_1,x_0,sqrt,-,1,/,**,x_1,2,**,x_0,2,x_2"
36,I.34.27,37.0,E_n,(h/(2*pi))*omega,2.0,omega,1.0,5.0,h,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,(x_1/(2*pi))*x_0,"*,/,x_1,*,2,pi,x_0"
37,I.37.4,38.0,Int,I1+I2+2*sqrt(I1*I2)*cos(delta),3.0,I1,1.0,5.0,I2,1.0,5.0,delta,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0+x_1+2*sqrt(x_0*x_1)*cos(x_2),"+,+,x_0,x_1,*,*,2,sqrt,*,x_0,x_1,cos,x_2"
38,I.38.12,39.0,r,4*pi*epsilon*(h/(2*pi))**2/(m*q**2),3.0,m,1.0,5.0,q,1.0,5.0,h,1.0,5.0,epsilon,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,4*pi*x_3*(x_2/(2*pi))**2/(x_0*x_1**2),"/,*,*,*,4,pi,x_3,**,/,x_2,*,2,pi,2,*,x_0,**,x_1,2"
39,I.39.1,40.0,E_n,3/2*pr*V,2.0,pr,1.0,5.0,V,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,3/2*x_0*x_1,"*,*,/,3,2,x_0,x_1"
40,I.39.11,41.0,E_n,1/(gamma-1)*pr*V,3.0,gamma,2.0,5.0,pr,1.0,5.0,V,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,1/(x_0-1)*x_1*x_2,"*,*,/,1,-,x_0,1,x_1,x_2"
41,I.39.22,42.0,pr,n*kb*T/V,4.0,n,1.0,5.0,T,1.0,5.0,V,1.0,5.0,kb,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_3*x_1/x_2,"/,*,*,x_0,x_3,x_1,x_2"
42,I.40.1,43.0,n,n_0*exp(-m*g*x/(kb*T)),6.0,n_0,1.0,5.0,m,1.0,5.0,x,1.0,5.0,T,1.0,5.0,g,1.0,5.0,kb,1.0,5.0,nan,,,nan,,,nan,,,,,,x_2_0*exp(-x_2_1*x_4*x_2/(x_2_5*x_3)),"*,x_2_0,exp,/,*,*,u-,x_2_1,x_4,x_2,*,x_2_5,x_3"
43,I.41.16,44.0,L_rad,h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),5.0,omega,1.0,5.0,T,1.0,5.0,h,1.0,5.0,kb,1.0,5.0,c,1.0,5.0,nan,,,nan,,,nan,,,nan,,,,,,x_2/(2*pi)*x_0**3/(pi**2*x_4**2*(exp((x_2/(2*pi))*x_0/(x_3*x_1))-1)),"/,*,/,x_2,*,2,pi,**,x_0,3,*,*,**,pi,2,**,x_4,2,-,exp,/,*,/,x_2,*,2,pi,x_0,*,x_3,x_1,1"
44,I.43.16,45.0,v,mu_drift*q*Volt/d,4.0,mu_drift,1.0,5.0,q,1.0,5.0,Volt,1.0,5.0,d,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1*x_2/x_3,"/,*,*,x_0,x_1,x_2,x_3"
45,I.43.31,46.0,D,mob*kb*T,3.0,mob,1.0,5.0,T,1.0,5.0,kb,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_2*x_1,"*,*,x_0,x_2,x_1"
46,I.43.43,47.0,kappa,1/(gamma-1)*kb*v/A,4.0,gamma,2.0,5.0,kb,1.0,5.0,A,1.0,5.0,v,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,1/(x_0-1)*x_1*x_3/x_2,"/,*,*,/,1,-,x_0,1,x_1,x_3,x_2"
47,I.44.4,48.0,E_n,n*kb*T*ln(V2/V1),5.0,n,1.0,5.0,kb,1.0,5.0,T,1.0,5.0,V1,1.0,5.0,V2,1.0,5.0,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1*x_2*log(x_4/x_3),"*,*,*,x_0,x_1,x_2,log,/,x_4,x_3"
48,I.47.23,49.0,c,sqrt(gamma*pr/rho),3.0,gamma,1.0,5.0,pr,1.0,5.0,rho,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,sqrt(x_0*x_1/x_2),"sqrt,/,*,x_0,x_1,x_2"
49,I.48.2,50.0,E_n,m*c**2/sqrt(1-v**2/c**2),3.0,m,1.0,5.0,v,1.0,2.0,c,3.0,10.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_2**2/sqrt(1-x_1**2/x_2**2),"/,*,x_0,**,x_2,2,sqrt,-,1,/,**,x_1,2,**,x_2,2"
50,I.50.26,51.0,x,x1*(cos(omega*t)+alpha*cos(omega*t)**2),4.0,x1,1.0,3.0,omega,1.0,3.0,t,1.0,3.0,alpha,1.0,3.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*(cos(x_1*x_2)+x_3*cos(x_1*x_2)**2),"*,x_0,+,cos,*,x_1,x_2,*,x_3,**,cos,*,x_1,x_2,2"
51,II.2.42,52.0,Pwr,kappa*(T2-T1)*A/d,5.0,kappa,1.0,5.0,T1,1.0,5.0,T2,1.0,5.0,A,1.0,5.0,d,1.0,5.0,nan,,,nan,,,nan,,,nan,,,,,,x_0*(x_2-x_1)*x_3/x_4,"/,*,*,x_0,-,x_2,x_1,x_3,x_4"
52,II.3.24,53.0,flux,Pwr/(4*pi*r**2),2.0,Pwr,1.0,5.0,r,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0/(4*pi*x_1**2),"/,x_0,*,*,4,pi,**,x_1,2"
53,II.4.23,54.0,Volt,q/(4*pi*epsilon*r),3.0,q,1.0,5.0,epsilon,1.0,5.0,r,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0/(4*pi*x_1*x_2),"/,x_0,*,*,*,4,pi,x_1,x_2"
54,II.6.11,55.0,Volt,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,4.0,epsilon,1.0,3.0,p_d,1.0,3.0,theta,1.0,3.0,r,1.0,3.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,1/(4*pi*x_0)*x_1*cos(x_2)/x_3**2,"/,*,*,/,1,*,*,4,pi,x_0,x_1,cos,x_2,**,x_3,2"
55,II.6.15a,56.0,Ef,p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),6.0,epsilon,1.0,3.0,p_d,1.0,3.0,r,1.0,3.0,x,1.0,3.0,y,1.0,3.0,z,1.0,3.0,nan,,,nan,,,nan,,,,,,x_3_1/(4*pi*x_3_0)*3*x_5/x_3_2**5*sqrt(x_3**2+x_4**2),"*,/,*,*,/,x_3_1,*,*,4,pi,x_3_0,3,x_5,**,x_3_2,5,sqrt,+,**,x_3,2,**,x_4,2"
56,II.6.15b,57.0,Ef,p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,4.0,epsilon,1.0,3.0,p_d,1.0,3.0,theta,1.0,3.0,r,1.0,3.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_1/(4*pi*x_0)*3*cos(x_2)*sin(x_2)/x_3**3,"/,*,*,*,/,x_1,*,*,4,pi,x_0,3,cos,x_2,sin,x_2,**,x_3,3"
57,II.8.7,58.0,E_n,3/5*q**2/(4*pi*epsilon*d),3.0,q,1.0,5.0,epsilon,1.0,5.0,d,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,3/5*x_0**2/(4*pi*x_1*x_2),"/,*,/,3,5,**,x_0,2,*,*,*,4,pi,x_1,x_2"
58,II.8.31,59.0,E_den,epsilon*Ef**2/2,2.0,epsilon,1.0,5.0,Ef,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1**2/2,"/,*,x_0,**,x_1,2,2"
59,II.10.9,60.0,Ef,sigma_den/epsilon*1/(1+chi),3.0,sigma_den,1.0,5.0,epsilon,1.0,5.0,chi,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0/x_1*1/(1+x_2),"/,*,/,x_0,x_1,1,+,1,x_2"
60,II.11.3,61.0,x,q*Ef/(m*(omega_0**2-omega**2)),5.0,q,1.0,3.0,Ef,1.0,3.0,m,1.0,3.0,omega_0,3.0,5.0,omega,1.0,2.0,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1/(x_2*(x_3**2-x_4**2)),"/,*,x_0,x_1,*,x_2,-,**,x_3,2,**,x_4,2"
61,II.11.17,62.0,n,n_0*(1+p_d*Ef*cos(theta)/(kb*T)),6.0,n_0,1.0,3.0,kb,1.0,3.0,T,1.0,3.0,theta,1.0,3.0,p_d,1.0,3.0,Ef,1.0,3.0,nan,,,nan,,,nan,,,,,,x_0*(1+x_4*x_5*cos(x_3)/(x_1*x_2)),"*,x_0,+,1,/,*,*,x_4,x_5,cos,x_3,*,x_1,x_2"
62,II.11.20,63.0,Pol,n_rho*p_d**2*Ef/(3*kb*T),5.0,n_rho,1.0,5.0,p_d,1.0,5.0,Ef,1.0,5.0,kb,1.0,5.0,T,1.0,5.0,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1**2*x_2/(3*x_3*x_4),"/,*,*,x_0,**,x_1,2,x_2,*,*,3,x_3,x_4"
63,II.11.27,64.0,Pol,n*alpha/(1-(n*alpha/3))*epsilon*Ef,4.0,n,0.0,1.0,alpha,0.0,1.0,epsilon,1.0,2.0,Ef,1.0,2.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1/(1-(x_0*x_1/3))*x_2*x_3,"*,*,/,*,x_0,x_1,-,1,/,*,x_0,x_1,3,x_2,x_3"
64,II.11.28,65.0,theta,1+n*alpha/(1-(n*alpha/3)),2.0,n,0.0,1.0,alpha,0.0,1.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,1+x_0*x_1/(1-(x_0*x_1/3)),"+,1,/,*,x_0,x_1,-,1,/,*,x_0,x_1,3"
65,II.13.17,66.0,B,1/(4*pi*epsilon*c**2)*2*I/r,4.0,epsilon,1.0,5.0,c,1.0,5.0,I,1.0,5.0,r,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,1/(4*pi*x_0*x_1**2)*2*x_2/x_3,"/,*,*,/,1,*,*,*,4,pi,x_0,**,x_1,2,2,x_2,x_3"
66,II.13.23,67.0,rho_c,rho_c_0/sqrt(1-v**2/c**2),3.0,rho_c_0,1.0,5.0,v,1.0,2.0,c,3.0,10.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0/sqrt(1-x_1**2/x_2**2),"/,x_0,sqrt,-,1,/,**,x_1,2,**,x_2,2"
67,II.13.34,68.0,j,rho_c_0*v/sqrt(1-v**2/c**2),3.0,rho_c_0,1.0,5.0,v,1.0,2.0,c,3.0,10.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1/sqrt(1-x_1**2/x_2**2),"/,*,x_0,x_1,sqrt,-,1,/,**,x_1,2,**,x_2,2"
68,II.15.4,69.0,E_n,-mom*B*cos(theta),3.0,mom,1.0,5.0,B,1.0,5.0,theta,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,-x_0*x_1*cos(x_2),"*,*,u-,x_0,x_1,cos,x_2"
69,II.15.5,70.0,E_n,-p_d*Ef*cos(theta),3.0,p_d,1.0,5.0,Ef,1.0,5.0,theta,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,-x_0*x_1*cos(x_2),"*,*,u-,x_0,x_1,cos,x_2"
70,II.21.32,71.0,Volt,q/(4*pi*epsilon*r*(1-v/c)),5.0,q,1.0,5.0,epsilon,1.0,5.0,r,1.0,5.0,v,1.0,2.0,c,3.0,10.0,nan,,,nan,,,nan,,,nan,,,,,,x_0/(4*pi*x_1*x_2*(1-x_3/x_4)),"/,x_0,*,*,*,*,4,pi,x_1,x_2,-,1,/,x_3,x_4"
71,II.24.17,72.0,k,sqrt(omega**2/c**2-pi**2/d**2),3.0,omega,4.0,6.0,c,1.0,2.0,d,2.0,4.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,sqrt(x_0**2/x_1**2-pi**2/x_2**2),"sqrt,-,/,**,x_0,2,**,x_1,2,/,**,pi,2,**,x_2,2"
72,II.27.16,73.0,flux,epsilon*c*Ef**2,3.0,epsilon,1.0,5.0,c,1.0,5.0,Ef,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1*x_2**2,"*,*,x_0,x_1,**,x_2,2"
73,II.27.18,74.0,E_den,epsilon*Ef**2,2.0,epsilon,1.0,5.0,Ef,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1**2,"*,x_0,**,x_1,2"
74,II.34.2a,75.0,I,q*v/(2*pi*r),3.0,q,1.0,5.0,v,1.0,5.0,r,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1/(2*pi*x_2),"/,*,x_0,x_1,*,*,2,pi,x_2"
75,II.34.2,76.0,mom,q*v*r/2,3.0,q,1.0,5.0,v,1.0,5.0,r,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1*x_2/2,"/,*,*,x_0,x_1,x_2,2"
76,II.34.11,77.0,omega,g_*q*B/(2*m),4.0,g_,1.0,5.0,q,1.0,5.0,B,1.0,5.0,m,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1*x_2/(2*x_3),"/,*,*,x_0,x_1,x_2,*,2,x_3"
77,II.34.29a,78.0,mom,q*h/(4*pi*m),3.0,q,1.0,5.0,h,1.0,5.0,m,1.0,5.0,nan,,,nan,,,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_1/(4*pi*x_2),"/,*,x_0,x_1,*,*,4,pi,x_2"
78,II.34.29b,79.0,E_n,g_*mom*B*Jz/(h/(2*pi)),5.0,g_,1.0,5.0,h,1.0,5.0,Jz,1.0,5.0,mom,1.0,5.0,B,1.0,5.0,nan,,,nan,,,nan,,,nan,,,,,,x_0*x_3*x_4*x_2/(x_1/(2*pi)),"/,*,*,*,x_0,x_3,x_4,x_2,/,x_1,*,2,pi"
79,II.35.18,80.0,n,n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),5.0,n_0,1.0,3.0,kb,1.0,3.0,T,1.0,3.0,mom,1.0,3.0,B,1.0,3.0,nan,,,nan,,,nan,,,nan,,,,,,x_0/(exp(x_3*x_4/(x_1*x_2))+exp(-x_3*x_4/(x_1*x_2))),"/,x_0,+,exp,/,*,x_3,x_4,*,x_1,x_2,exp,/,*,u-,x_3,x_4,*,x_1,x_2"
