Formula,Complexified_formula,Latex_formula,Latex_complexified_formula
"*,*,*,x_4,x_0,x_1,-,/,1,x_3,/,1,x_2","[*, *, *, x_4, x_0, x_1, -, /, 1.0, x_3, +, u-, u-, x_0, sin, x_4]",x_{0} x_{1} x_{4} \cdot \left(\frac{1.0}{x_{3}} - \frac{1.0}{x_{2}}\right),x_{0} x_{1} x_{4} \left(- (x_{0} + \sin{\left(x_{4} \right)}) + \frac{1.0}{x_{3}}\right)
"*,*,x_0,x_1,x_2","[*, *, sqrt, *, 0.7006117008936492, log, x_1, x_1, x_2]",x_{0} x_{1} x_{2},x_{1} x_{2} \sqrt{0.7006117008936492 \left|{\log{\left(\left|{x_{1}}\right| \right)}}\right|}
"/,-,x_0,*,x_1,x_3,sqrt,-,1,/,**,x_1,2,**,x_2,2","[/, -, x_0, *, x_1, x_3, sqrt, -, 1.0, /, /, x_2, x_3, **, x_2, 2.0]",\frac{x_{0} - x_{1} x_{3}}{\sqrt{\left|{\frac{x_{1}^{2.0}}{x_{2}^{2.0}} - 1.0}\right|}},\frac{x_{0} - x_{1} x_{3}}{\sqrt{\left|{\frac{x_{2}}{x_{2}^{2.0} x_{3}} - 1.0}\right|}}
"/,-,x_3,/,*,x_2,x_0,**,x_1,2,sqrt,-,1,/,**,x_2,2,**,x_1,2","[/, -, x_3, /, *, x_2, +, x_2, x_6, **, x_1, 2.0, sqrt, -, 1.0, /, **, x_2, 2.0, **, x_1, 2.0]",\frac{- \frac{x_{0} x_{2}}{x_{1}^{2.0}} + x_{3}}{\sqrt{\left|{1.0 - \frac{x_{2}^{2.0}}{x_{1}^{2.0}}}\right|}},\frac{x_{3} - \frac{x_{2} \left(x_{2} + x_{6}\right)}{x_{1}^{2.0}}}{\sqrt{\left|{1.0 - \frac{x_{2}^{2.0}}{x_{1}^{2.0}}}\right|}}
"/,*,x_0,x_1,sqrt,-,1,/,**,x_1,2,**,x_2,2","[/, sqrt, exp, **, u-, x_4, **, x_2, -2.5226901049884254, sqrt, -, 1.0, /, **, x_1, 2.0, **, x_2, 2.0]",\frac{x_{0} x_{1}}{\sqrt{\left|{\frac{x_{1}^{2.0}}{x_{2}^{2.0}} - 1.0}\right|}},\frac{\sqrt{e^{- \operatorname{re}{\left(x_{4}^{x_{2}^{-2.5226901049884254}}\right)}}}}{\sqrt{\left|{\frac{x_{1}^{2.0}}{x_{2}^{2.0}} - 1.0}\right|}}
"/,+,x_2,x_1,+,1,/,*,x_2,x_1,**,x_0,2","[/, +, sin, x_5, x_1, +, 1.0, /, *, x_2, x_1, **, x_0, 2.0]",\frac{x_{1} + x_{2}}{1.0 + \frac{x_{1} x_{2}}{x_{0}^{2.0}}},\frac{x_{1} + \sin{\left(x_{5} \right)}}{1.0 + \frac{x_{1} x_{2}}{x_{0}^{2.0}}}
"/,+,*,x_0,x_2,*,x_1,x_3,+,x_0,x_1","[/, +, *, x_0, x_2, *, x_1, x_3, exp, +, exp, -, x_1, x_1, cos, x_6]",\frac{x_{0} x_{2} + x_{1} x_{3}}{x_{0} + x_{1}},\frac{x_{0} x_{2} + x_{1} x_{3}}{e^{e^{- x_{1} + x_{1}} + \cos{\left(x_{6} \right)}}}
"*,*,x_0,x_1,sin,x_2","[*, /, sin, log, x_0, cos, x_1, sin, x_2]",x_{0} x_{1} \sin{\left(x_{2} \right)},\frac{\sin{\left(x_{2} \right)} \sin{\left(\log{\left(\left|{x_{0}}\right| \right)} \right)}}{\cos{\left(x_{1} \right)}}
"*,*,*,x_0,x_1,x_2,sin,x_3","[+, exp, sqrt, -, /, x_4, x_1, *, 4.905051420006734, x_0, u-, **2, x_0]",x_{0} x_{1} x_{2} \sin{\left(x_{3} \right)},- x_{0}^{2} + e^{\sqrt{\left|{4.905051420006734 x_{0} - \frac{x_{4}}{x_{1}}}\right|}}
"/,x_0,x_1","[**, /, sin, /, u-, x_3, /, 4.461945428816902, x_4, exp, log, sqrt, x_3, cos, log, x_4]",\frac{x_{0}}{x_{1}},\left(\frac{\sin{\left(\frac{\left(-1\right) x_{3}}{4.461945428816902 \cdot \frac{1}{x_{4}}} \right)}}{e^{\log{\left(\sqrt{\left|{x_{3}}\right|} \right)}}}\right)^{\cos{\left(\log{\left(\left|{x_{4}}\right| \right)} \right)}}
"/,1,+,/,1,x_0,/,x_2,x_1","[/, **, sqrt, sin, **, x_1, x_6, -, x_3, **2, sqrt, x_0, +, /, 1.0, x_0, /, x_2, x_1]",\frac{1.0}{\frac{x_{2}}{x_{1}} + \frac{1.0}{x_{0}}},\frac{\left(\sqrt{\left|{\sin{\left(x_{1}^{x_{6}} \right)}}\right|}\right)^{x_{3} - \left(\sqrt{\left|{x_{0}}\right|}\right)^{2}}}{\frac{x_{2}}{x_{1}} + \frac{1.0}{x_{0}}}
"/,x_0,x_1","[**, cos, **, /, -, x_0, x_6, *, x_0, x_1, sin, x_1, exp, u-, **, x_4, cos, x_2]",\frac{x_{0}}{x_{1}},\cos^{e^{- x_{4}^{\cos{\left(x_{2} \right)}}}}{\left(\left(\frac{x_{0} - x_{6}}{x_{0} x_{1}}\right)^{\sin{\left(x_{1} \right)}} \right)}
"sqrt,-,+,**,x_0,2,**,x_1,2,*,*,*,2,x_0,x_1,cos,-,x_2,x_3","[sqrt, -, +, **, x_0, 2.0, **, x_1, 2.0, *, *, *, 2.0, x_0, sqrt, -0.8175696370938113, cos, -, x_2, x_3]",\sqrt{\left|{- 2.0 x_{0} x_{1} \cos{\left(x_{2} - x_{3} \right)} + x_{0}^{2.0} + x_{1}^{2.0}}\right|},\sqrt{\left|{- 2.0 \sqrt{0.8175696370938113} x_{0} \cos{\left(x_{2} - x_{3} \right)} + x_{0}^{2.0} + x_{1}^{2.0}}\right|}
"/,*,**,x_0,2,**,x_1,2,*,*,*,6,3.141592653589793,x_2,**,x_3,3","[/, +, +, sqrt, cos, x_0, **2, u-, x_4, exp, sqrt, cos, x_0, *, *, *, 6.0, 3.141592653589793, x_2, **, x_3, 3.0]",\frac{x_{0}^{2.0} x_{1}^{2.0}}{6.0 \pi x_{2} x_{3}^{3.0}},\frac{\left(- x_{4}\right)^{2} + e^{\sqrt{\left|{\cos{\left(x_{0} \right)}}\right|}} + \sqrt{\left|{\cos{\left(x_{0} \right)}}\right|}}{6.0 \pi x_{2} x_{3}^{3.0}}
"/,*,*,x_0,x_1,x_2,x_3","[**3, **, sin, log, x_6, -, sin, -, x_2, x_1, **3, x_1]",\frac{x_{0} x_{1} x_{2}}{x_{3}},\left(\sin^{- x_{1}^{3} + \sin{\left(- x_{1} + x_{2} \right)}}{\left(\log{\left(\left|{x_{6}}\right| \right)} \right)}\right)^{3}
"/,x_2,-,1,/,x_1,x_0","[/, x_2, -, **3, /, u-, x_5, x_2, /, x_1, x_0]",\frac{x_{2}}{1.0 - \frac{x_{1}}{x_{0}}},\frac{x_{2}}{\left(\frac{\left(-1\right) x_{5}}{x_{2}}\right)^{3} - \frac{x_{1}}{x_{0}}}
"*,/,x_1,*,2,3.141592653589793,x_0","[*, /, log, **3, *, 0.15236054864210846, x_1, *, 2.0, 3.141592653589793, x_0]",\frac{x_{0} x_{1}}{2.0 \pi},\frac{x_{0} \log{\left(\left|{\left(0.15236054864210846 x_{1}\right)^{3}}\right| \right)}}{2.0 \pi}
"+,+,x_0,x_1,*,*,2,sqrt,*,x_0,x_1,cos,x_2","[+, +, x_0, x_1, *, exp, +, -, x_1, x_0, **, x_5, -3.4302231728380628, cos, x_2]",x_{0} + x_{1} + 2.0 \cos{\left(x_{2} \right)} \sqrt{\left|{x_{0} x_{1}}\right|},x_{0} + x_{1} + e^{- x_{0} + x_{1} + x_{5}^{-3.4302231728380628}} \cos{\left(x_{2} \right)}
"/,*,*,*,4,3.141592653589793,x_3,**,/,x_2,*,2,3.141592653589793,2,*,x_0,**,x_1,2","[/, *, *, *, +, x_3, x_6, 3.141592653589793, x_3, **, /, x_2, *, 2.0, 3.141592653589793, 2.0, *, x_0, **, x_1, 2.0]",\frac{4.0 \pi x_{3} \left(\frac{x_{2}}{2.0 \pi}\right)^{2.0}}{x_{0} x_{1}^{2.0}},\frac{\pi x_{3} \left(\frac{x_{2}}{2.0 \pi}\right)^{2.0} \left(x_{3} + x_{6}\right)}{x_{0} x_{1}^{2.0}}
"*,*,/,3,2,x_0,x_1","[*, *, /, 3.0, **3, x_2, x_0, x_1]",\frac{3.0 x_{0} x_{1}}{2.0},\frac{3.0 x_{0} x_{1}}{x_{2}^{3}}
"*,*,/,1,-,x_0,1,x_1,x_2","[*, exp, cos, *, /, x_1, 0.5774226595043741, x_0, x_2]",\frac{1.0 x_{1} x_{2}}{x_{0} - 1.0},x_{2} e^{\cos{\left(\frac{x_{0} x_{1}}{0.5774226595043741} \right)}}
"/,*,*,x_0,x_3,x_1,x_2","[-, **, **, /, x_5, **2, x_6, **, /, x_5, -2.420971729550602, -, 0.567628930139298, x_4, **, x_3, x_1, log, *, exp, -, x_1, x_6, log, *, x_0, x_3]",\frac{x_{0} x_{1} x_{3}}{x_{2}},\left(\left(\frac{x_{5}}{x_{6}^{2}}\right)^{\left(\frac{x_{5}}{-2.420971729550602}\right)^{0.567628930139298 - x_{4}}}\right)^{x_{3}^{x_{1}}} - \log{\left(e^{\operatorname{re}{\left(x_{1}\right)} - \operatorname{re}{\left(x_{6}\right)}} \left|{\log{\left(\left|{x_{0} x_{3}}\right| \right)}}\right| \right)}
"/,*,*,x_0,x_1,x_2,x_3","[/, *, *, x_0, sqrt, +, x_5, x_4, x_2, x_3]",\frac{x_{0} x_{1} x_{2}}{x_{3}},\frac{x_{0} x_{2} \sqrt{\left|{x_{4} + x_{5}}\right|}}{x_{3}}
"*,*,x_0,x_2,x_1","[*, *, *, log, sqrt, x_0, **3, **, x_6, x_0, x_2, x_1]",x_{0} x_{1} x_{2},x_{1} x_{2} \left(x_{6}^{x_{0}}\right)^{3} \log{\left(\sqrt{\left|{x_{0}}\right|} \right)}
"/,*,*,/,1,-,x_0,1,x_1,x_3,x_2","[u-, *, *, x_6, **2, sqrt, x_4, /, log, x_4, **3, 1.0395787207251246]",\frac{1.0 x_{1} x_{3}}{x_{2} \left(x_{0} - 1.0\right)},- \frac{x_{6} \left(\sqrt{\left|{x_{4}}\right|}\right)^{2} \log{\left(\left|{x_{4}}\right| \right)}}{1.0395787207251246^{3}}
"*,*,*,x_0,x_1,x_2,log,/,x_4,x_3","[*, *, *, u-, **, x_0, x_6, x_1, x_2, log, /, x_4, x_3]",x_{0} x_{1} x_{2} \log{\left(\left|{\frac{x_{4}}{x_{3}}}\right| \right)},- x_{0}^{x_{6}} x_{1} x_{2} \log{\left(\left|{\frac{x_{4}}{x_{3}}}\right| \right)}
"sqrt,/,*,x_0,x_1,x_2","[sqrt, /, *, x_0, x_1, u-, u-, x_3]",\sqrt{\left|{\frac{x_{0} x_{1}}{x_{2}}}\right|},\sqrt{\left|{\frac{x_{0} x_{1}}{x_{3}}}\right|}
"/,*,x_0,**,x_2,2,sqrt,-,1,/,**,x_1,2,**,x_2,2","[/, *, x_0, cos, *, -, x_3, x_5, x_0, sqrt, -, 1.0, /, **, x_1, 2.0, **, x_2, 2.0]",\frac{x_{0} x_{2}^{2.0}}{\sqrt{\left|{\frac{x_{1}^{2.0}}{x_{2}^{2.0}} - 1.0}\right|}},\frac{x_{0} \cos{\left(x_{0} \left(x_{3} - x_{5}\right) \right)}}{\sqrt{\left|{\frac{x_{1}^{2.0}}{x_{2}^{2.0}} - 1.0}\right|}}
"/,*,*,x_0,-,x_2,x_1,x_3,x_4","[/, *, *, x_0, -, exp, x_1, x_1, x_3, x_4]",\frac{x_{0} x_{3} \left(- x_{1} + x_{2}\right)}{x_{4}},\frac{x_{0} x_{3} \left(- x_{1} + e^{x_{1}}\right)}{x_{4}}
"/,x_0,*,*,4,3.141592653589793,**,x_1,2","[/, x_0, *, *, -, sqrt, -2.780278380670506, **3, x_6, 3.141592653589793, **, x_1, 2.0]",\frac{x_{0}}{4.0 \pi x_{1}^{2.0}},\frac{x_{0}}{\pi x_{1}^{2.0} \left(- x_{6}^{3} + \sqrt{2.780278380670506}\right)}
"/,x_0,*,*,*,4,3.141592653589793,x_1,x_2","[/, x_0, *, *, *, **3, -4.005586072406548, 3.141592653589793, x_1, x_2]",\frac{x_{0}}{4.0 \pi x_{1} x_{2}},\frac{x_{0}}{\left(-4.005586072406548\right)^{3} \pi x_{1} x_{2}}
"/,*,/,3,5,**,x_0,2,*,*,*,4,3.141592653589793,x_1,x_2","[/, *, /, 3.0, 5.0, **, x_0, 2.0, *, *, *, 4.0, 3.141592653589793, x_1, u-, -, x_6, x_2]",\frac{3.0 x_{0}^{2.0}}{5.0 \cdot 4.0 \pi x_{1} x_{2}},\frac{3.0 x_{0}^{2.0}}{5.0 \cdot 4.0 \pi x_{1} \left(x_{2} - x_{6}\right)}
"/,*,x_0,**,x_1,2,2","[/, *, x_0, **, u-, -, x_6, x_4, 2.0, 2.0]",\frac{x_{0} x_{1}^{2.0}}{2.0},\frac{x_{0} \left(- \left(- x_{4} + x_{6}\right)^{2.0}\right)}{2.0}
"/,*,/,x_0,x_1,1,+,1,x_2","[-, exp, exp, **2, x_2, -, **, exp, x_6, u-, x_1, exp, x_5]",x_{0} \cdot \frac{1}{x_{1}} \cdot 1.0 \cdot \frac{1}{x_{2} + 1.0},- (- e^{x_{5}} + \left(e^{x_{6}}\right)^{- x_{1}}) + e^{e^{x_{2}^{2}}}
"/,*,x_0,x_1,*,x_2,-,**,x_3,2,**,x_4,2","[/, *, x_0, x_1, *, x_2, -, **, x_3, 2.0, **, **3, x_4, 2.0]",\frac{x_{0} x_{1}}{x_{2} \left(x_{3}^{2.0} - x_{4}^{2.0}\right)},\frac{x_{0} x_{1}}{x_{2} \left(x_{3}^{2.0} - x_{4}^{3^{2.0}}\right)}
"*,x_0,+,1,/,*,*,x_4,x_5,cos,x_3,*,x_1,x_2","[+, exp, **, x_3, x_2, +, **, **, x_1, x_2, log, x_1, **3, log, x_2]",x_{0} \left(\frac{x_{4} x_{5} \cos{\left(x_{3} \right)}}{x_{1} x_{2}} + 1.0\right),\left(x_{1}^{x_{2}}\right)^{\log{\left(\left|{x_{1}}\right| \right)}} + e^{x_{3}^{x_{2}}} + \log{\left(\left|{x_{2}}\right| \right)}^{3}
"/,*,*,x_0,**,x_1,2,x_2,*,*,3,x_3,x_4","[/, *, *, x_0, **, x_1, 2.0, **, sin, +, x_6, x_3, **3, u-, x_5, *, *, 3.0, x_3, x_4]",\frac{x_{0} x_{1}^{2.0} x_{2}}{3.0 x_{3} x_{4}},\frac{x_{0} x_{1}^{2.0} \sin^{\left(- x_{5}\right)^{3}}{\left(x_{3} + x_{6} \right)}}{3.0 x_{3} x_{4}}
"+,1,/,*,x_0,x_1,-,1,/,*,x_0,x_1,3","[+, /, exp, **3, x_1, exp, x_6, /, *, x_0, x_1, -, 1.0, /, *, x_0, x_1, 3.0]",\frac{x_{0} x_{1}}{1.0 - \frac{x_{0} x_{1}}{3.0}} + 1.0,\frac{x_{0} x_{1}}{1.0 - \frac{x_{0} x_{1}}{3.0}} + \frac{e^{x_{1}^{3}}}{e^{x_{6}}}
"/,x_0,sqrt,-,1,/,**,x_1,2,**,x_2,2","[/, x_0, sqrt, -, sqrt, **2, x_0, /, **, x_1, 2.0, **, x_2, 2.0]",\frac{x_{0}}{\sqrt{\left|{\frac{x_{1}^{2.0}}{x_{2}^{2.0}} - 1.0}\right|}},\frac{x_{0}}{\sqrt{\left|{\frac{x_{1}^{2.0}}{x_{2}^{2.0}} - \sqrt{\left|{x_{0}^{2}}\right|}}\right|}}
"/,*,x_0,x_1,sqrt,-,1,/,**,x_1,2,**,x_2,2","[/, *, x_0, x_1, sqrt, -, 1.0, /, **, x_5, 2.0, **, x_2, 2.0]",\frac{x_{0} x_{1}}{\sqrt{\left|{\frac{x_{1}^{2.0}}{x_{2}^{2.0}} - 1.0}\right|}},\frac{x_{0} x_{1}}{\sqrt{\left|{1.0 - \frac{x_{5}^{2.0}}{x_{2}^{2.0}}}\right|}}
"*,*,u-,x_0,x_1,cos,x_2","[*, *, u-, u-, x_5, x_1, cos, x_2]",- x_{0} x_{1} \cos{\left(x_{2} \right)},x_{1} x_{5} \cos{\left(x_{2} \right)}
"*,*,u-,x_0,x_1,cos,x_2","[*, *, /, cos, **2, x_5, -, log, x_4, cos, x_2, x_1, cos, x_2]",- x_{0} x_{1} \cos{\left(x_{2} \right)},\frac{x_{1} \cos{\left(x_{2} \right)} \cos{\left(x_{5}^{2} \right)}}{\log{\left(\left|{x_{4}}\right| \right)} - \cos{\left(x_{2} \right)}}
"/,x_0,*,*,*,*,4,3.141592653589793,x_1,x_2,-,1,/,x_3,x_4","[/, *, **, *, log, x_1, *, x_5, x_4, u-, *, x_4, x_0, **3, -, -0.9154678692930132, x_1, *, *, *, *, 4.0, 3.141592653589793, x_1, x_2, -, 1.0, /, x_3, x_4]",\frac{x_{0}}{4.0 \pi x_{1} x_{2} \cdot \left(1.0 - \frac{x_{3}}{x_{4}}\right)},\frac{\left(x_{4} x_{5} \log{\left(\left|{x_{1}}\right| \right)}\right)^{- x_{0} x_{4}} \left(- x_{1} - 0.9154678692930132\right)^{3}}{4.0 \pi x_{1} x_{2} \cdot \left(1.0 - \frac{x_{3}}{x_{4}}\right)}
"sqrt,-,/,**,x_0,2,**,x_1,2,/,**,3.141592653589793,2,**,x_2,2","[sqrt, -, /, **, x_0, 2.0, **, x_1, cos, 3.5120691404876876, /, **, 3.141592653589793, 2.0, **, x_2, 2.0]",\sqrt{\left|{\frac{x_{0}^{2.0}}{x_{1}^{2.0}} - \frac{\pi^{2.0}}{x_{2}^{2.0}}}\right|},\sqrt{\left|{\frac{x_{0}^{2.0}}{x_{1}^{\cos{\left(3.5120691404876876 \right)}}} - \frac{\pi^{2.0}}{x_{2}^{2.0}}}\right|}
"*,*,x_0,x_1,**,x_2,2","[exp, **3, **, sin, sqrt, x_4, log, x_2]",x_{0} x_{1} x_{2}^{2.0},e^{\left(\sin^{\log{\left(\left|{x_{2}}\right| \right)}}{\left(\sqrt{\left|{x_{4}}\right|} \right)}\right)^{3}}
"*,x_0,**,x_1,2","[**2, u-, /, sin, x_5, **3, **3, 3.1867942049984173]",x_{0} x_{1}^{2.0},\left(- \frac{\sin{\left(x_{5} \right)}}{\left(3.1867942049984173^{3}\right)^{3}}\right)^{2}
"/,*,x_0,x_1,*,*,2,3.141592653589793,x_2","[/, -, u-, /, x_0, **, x_1, x_1, cos, /, x_2, 3.215129474074409, *, *, 2.0, 3.141592653589793, x_2]",\frac{x_{0} x_{1}}{2.0 \pi x_{2}},\frac{- \frac{x_{0}}{x_{1}^{x_{1}}} - \cos{\left(\frac{x_{2}}{3.215129474074409} \right)}}{2.0 \pi x_{2}}
"/,*,*,x_0,x_1,x_2,2","[/, *, -, cos, cos, x_3, /, x_0, x_4, x_2, 2.0]",\frac{x_{0} x_{1} x_{2}}{2.0},\frac{x_{2} \left(- \frac{x_{0}}{x_{4}} + \cos{\left(\cos{\left(x_{3} \right)} \right)}\right)}{2.0}
"/,*,*,x_0,x_1,x_2,*,2,x_3","[/, *, **, -2.700453941089138, -, 3.64358249839637, x_4, -, sin, *, x_6, x_5, /, x_0, u-, -2.3100659556490233, +, -4.883794600918994, **, +, log, -0.19493052742171102, x_5, **, -2.896504200811314, x_1]",\frac{x_{0} x_{1} x_{2}}{2.0 x_{3}},\frac{- 2.700453941089138^{3.64358249839637 - x_{4}} \left(- \frac{x_{0}}{2.3100659556490233} + \sin{\left(x_{5} x_{6} \right)}\right)}{-4.883794600918994 + \left(x_{5} + \log{\left(0.19493052742171102 \right)}\right)^{- 2.896504200811314^{x_{1}}}}
"/,*,x_0,x_1,*,*,4,3.141592653589793,x_2","[-, sin, log, /, *, x_3, x_2, sin, x_4, /, u-, -, u-, x_0, x_2, x_6]",\frac{x_{0} x_{1}}{4.0 \pi x_{2}},\sin{\left(\log{\left(\left|{\frac{x_{2} x_{3}}{\sin{\left(x_{4} \right)}}}\right| \right)} \right)} - \frac{x_{0} + x_{2}}{x_{6}}
"/,*,*,*,x_0,x_3,x_4,x_2,/,x_1,*,2,3.141592653589793","[u-, /, /, *, x_4, -, x_6, x_2, *, +, -3.684323148727402, x_5, x_5, **, sin, **2, x_1, sqrt, x_4]",\frac{x_{0} x_{2} x_{3} x_{4}}{x_{1} \cdot \frac{1}{2.0 \pi}},- \frac{x_{4} \left(- x_{2} + x_{6}\right)}{x_{5} \left(x_{5} - 3.684323148727402\right) \sin^{\sqrt{\left|{x_{4}}\right|}}{\left(x_{1}^{2} \right)}}
"*,*,x_0,+,1,x_2,x_1","[*, *, x_0, +, sin, u-, x_0, x_2, x_1]",x_{0} x_{1} \left(x_{2} + 1.0\right),x_{0} x_{1} \left(x_{2} + \sin{\left(- x_{0} \right)}\right)
"/,x_0,*,2,+,1,x_1","[**, -, u-, x_6, log, sin, **3, x_5, sqrt, log, /, x_3, x_6]",\frac{x_{0}}{2.0 \left(x_{1} + 1.0\right)},\left(- x_{6} - \log{\left(\left|{\sin{\left(x_{5}^{3} \right)}}\right| \right)}\right)^{\sqrt{\left|{\log{\left(\left|{\frac{x_{3}}{x_{6}}}\right| \right)}}\right|}}
"/,*,*,2,x_0,x_1,/,x_2,*,2,3.141592653589793","[/, *, *, 2.0, cos, **, x_0, x_1, x_1, /, x_2, *, 2.0, 3.141592653589793]",\frac{2.0 x_{0} x_{1}}{x_{2} \cdot \frac{1}{2.0 \pi}},\frac{2.0 x_{1} \cos{\left(x_{0}^{x_{1}} \right)}}{x_{2} \cdot \frac{1}{2.0 \pi}}
"**,sin,/,*,x_0,x_1,/,x_2,*,2,3.141592653589793,2","[**, sin, +, +, /, x_2, x_5, exp, x_1, sqrt, cos, x_4, 2.0]",\sin^{2.0}{\left(\frac{x_{0} x_{1}}{x_{2} \cdot \frac{1}{2.0 \pi}} \right)},\sin^{2.0}{\left(\frac{x_{2}}{x_{5}} + e^{x_{1}} + \sqrt{\left|{\cos{\left(x_{4} \right)}}\right|} \right)}
"*,x_0,sqrt,+,+,**,x_1,2,**,x_2,2,**,x_3,2","[**, **, **2, **3, u-, x_3, *, +, x_5, exp, x_0, -, x_1, -3.9108165815326856, log, -, u-, x_6, /, x_4, x_5]",x_{0} \sqrt{\left|{x_{1}^{2.0} + x_{2}^{2.0} + x_{3}^{2.0}}\right|},\left(\left(\left(- x_{3}\right)^{3}\right)^{2^{\left(x_{1} - -3.9108165815326856\right) \left(x_{5} + e^{x_{0}}\right)}}\right)^{\log{\left(\left|{\frac{x_{4}}{x_{5}} + x_{6}}\right| \right)}}
"*,x_0,/,x_1,*,2,3.141592653589793","[log, **3, -, exp, x_6, **2, cos, x_3]",\frac{x_{0} x_{1}}{2.0 \pi},\log{\left(\left|{\left(e^{x_{6}} - \cos^{2}{\left(x_{3} \right)}\right)^{3}}\right| \right)}
"/,*,*,*,2,x_0,**,x_1,2,x_2,/,x_3,*,2,3.141592653589793","[/, *, *, *, 2.0, x_0, **, x_1, 2.0, x_2, /, x_3, *, 2.0, sin, log, x_5]",\frac{2.0 x_{0} x_{1}^{2.0} x_{2}}{x_{3} \cdot \frac{1}{2.0 \pi}},\frac{2.0 x_{0} x_{1}^{2.0} x_{2}}{x_{3} \cdot \frac{1}{2.0 \sin{\left(\log{\left(\left|{x_{5}}\right| \right)} \right)}}}
"*,x_0,-,exp,/,*,x_1,x_2,*,x_3,x_4,1","[*, x_0, -, exp, /, *, x_0, x_2, *, x_3, x_4, 1.0]",x_{0} \left(e^{\frac{x_{1} x_{2}}{x_{3} x_{4}}} - 1.0\right),x_{0} \left(e^{\frac{x_{0} x_{2}}{x_{3} x_{4}}} - 1.0\right)
